Rank,Country/Territory,GDP(millions of current Int$),GDP(millions of current Int$)
1,China,"24,162,435",
2,United States,"20,807,269",
3,India,"8,681,303",
4,Japan,"5,236,138",
5,Germany,"4,454,498",
6,Russia,"4,021,733",
7,Indonesia,"3,328,288",
8,Brazil,"3,078,901",
9,United Kingdom,"2,978,564",
10,France,"2,954,196",
11,Mexico,"2,424,511",
12,Italy,"2,415,410",
13,Turkey,"2,381,594",
14,South Korea,"2,293,475",
15,Canada,"1,808,995",
16,Spain,"1,773,364",
17,Saudi Arabia,"1,608,610",
18,Australia,"1,307,916",
19,Egypt,"1,292,478",
20,Poland,"1,280,659",
—,Taiwan,"1,275,805",
21,Thailand,"1,261,485",
22,Pakistan,"1,076,258",
23,Vietnam,"1,047,318",
24,Nigeria,"1,044,211",
25,Iran,"1,006,697",
26,Netherlands,"986,773",
27,Philippines,"933,913",
28,Argentina,"924,539",
29,Malaysia,"900,426",
30,Bangladesh,"864,883",
31,Colombia,"719,251",
32,South Africa,"710,773",
33,United Arab Emirates,"647,650",
34,Switzerland,"590,900",
35,Romania,"584,852",
36,Belgium,"575,808",
37,Kazakhstan,"569,628",
38,Singapore,"551,614",
39,Sweden,"551,533",
40,Ukraine,"527,786",
41,Austria,"493,170",
42,Algeria,"488,291",
43,Chile,"456,394",
44,Ireland,"447,723",
—,Hong Kong,"439,459",
45,Czech Republic,"430,891",
46,Iraq,"399,400",
47,Peru,"385,719",
48,Israel,"360,972",
49,Norway,"349,507",
50,Portugal,"339,948",
51,Denmark,"335,805",
52,Hungary,"316,342",
53,Greece,"310,743",
54,Sri Lanka,"287,671",
55,Myanmar,"275,513",
56,Morocco,"273,550",
57,Finland,"272,678",
58,Ethiopia,"272,017",
59,Qatar,"257,464",
60,Uzbekistan,"250,157",
61,Kenya,"243,137",
62,Angola,"216,550",
63,New Zealand,"205,541",
64,Kuwait,"203,786",
65,Dominican Republic,"196,493",
66,Ecuador,"185,913",
67,Belarus,"185,889",
68,Slovakia,"175,653",
69,Ghana,"175,639",
70,Sudan,"166,268",
71,Tanzania,"165,339",
72,Bulgaria,"164,095",
73,Guatemala,"148,562",
74,Azerbaijan,"146,459",
75,Côte d'Ivoire,"144,497",
76,Serbia,"130,675",
77,Oman,"129,195",
78,Panama,"128,501",
79,Tunisia,"123,574",
80,Croatia,"111,977",
—,Puerto Rico,"109,212",
81,Lithuania,"106,913",
82,Uganda,"106,568",
83,Nepal,"103,359",
84,Jordan,"102,158",
85,Turkmenistan,"99,323",
86,Costa Rica,"99,037",
87,"Congo, Democratic Republic of the","98,549",
88,Bolivia,"97,784",
89,Cameroon,"96,989",
90,Paraguay,"90,678",
91,Slovenia,"79,664",
92,Lebanon,"78,917",
93,Afghanistan,"78,884",
94,Uruguay,"75,343",
95,Cambodia,"74,348",
96,Bahrain,"74,245",
97,Luxembourg,"70,662",
98,Yemen,"62,706",
99,Zambia,"62,354",
100,Laos,"59,736",
101,Latvia,"58,593",
102,Senegal,"58,075",
103,Georgia,"56,083",
104,Honduras,"55,057",
105,El Salvador,"54,488",
106,Estonia,"49,097",
107,Bosnia and Herzegovina,"48,839",
108,Mali,"47,613",
109,Burkina Faso,"46,077",
110,Madagascar,"45,425",
111,Benin,"41,825",
112,Mongolia,"41,125",
113,Mozambique,"40,923",
114,Armenia,"40,788",
—,Macau,"40,049",
115,Zimbabwe,"39,234",
116,Albania,"39,113",
117,Botswana,"39,097",
118,Trinidad and Tobago,"36,418",
119,Nicaragua,"35,337",
120,Guinea,"35,137",
121,Moldova,"34,908",
122,Cyprus,"34,620",
123,North Macedonia,"34,523",
124,Papua New Guinea,"33,902",
125,Tajikistan,"33,727",
126,Gabon,"33,416",
127,Libya,"31,531",
128,Kyrgyzstan,"31,439",
129,Niger,"30,322",
130,Rwanda,"30,301",
131,Brunei,"28,470",
132,Jamaica,"27,855",
133,West Bank and Gaza,"27,095",
134,Chad,"26,574",
135,Mauritius,"26,252",
136,Equatorial Guinea,"25,007",
137,Namibia,"24,132",
138,Mauritania,"24,042",
139,Malta,"21,627",
140,Malawi,"20,774",
—,Kosovo,"19,909",
141,Iceland,"19,820",
142,"Congo, Republic of the","19,818",
143,Haiti,"19,704",
144,Somalia,"13,938",
145,Guyana,"13,661",
146,Sierra Leone,"13,660",
147,Togo,"13,583",
148,Bahamas,"13,016",
149,Montenegro,"12,417",
150,South Sudan,"12,176",
151,Eswatini,"10,092",
152,Fiji,"10,054",
153,Burundi,"9,292",
154,Bhutan,"9,089",
155,Suriname,"8,827",
156,Maldives,"8,681",
157,Liberia,"7,208",
158,Eritrea,"6,469",
159,Lesotho,"5,951",
160,Djibouti,"5,624",
161,"Gambia, The","5,417",
162,Timor-Leste,"5,315",
163,Central African Republic,"4,695",
164,Guinea-Bissau,"4,248",
165,Barbados,"4,194",
166,Cape Verde,"3,887",
167,Aruba,"3,061",
168,Comoros,"2,704",
169,Seychelles,"2,565",
170,St. Lucia,"2,480",
171,Belize,"2,373",
172,San Marino,"1,917",
173,Antigua and Barbuda,"1,830",
174,Grenada,"1,798",
175,Solomon Islands,"1,600",
176,St. Vincent and the Grenadines,"1,356",
177,St. Kitts and Nevis,"1,201",
178,Samoa,"1,125",
179,Dominica,855,
180,São Tomé and Príncipe,836,
181,Vanuatu,795,
182,Tonga,609,
183,Micronesia,353,
184,Kiribati,252,
185,Palau,250,
186,Marshall Islands,209,
187,Nauru,127,
188,Tuvalu,50,
—,Vatican City,21,
